County,Total Air Releases
"Garrett, MD",6103.0406
"Garvin, OK",81463.601
"Gaston, NC",8627882.832
"Geary, KS",14164
"Geauga, OH",16887.60237
"Genesee, MI",257997.07
"Genesee, NY",5
"Geneva, AL",217248
"Georgetown, SC",4102534.89
"Gibson, IN",2627353.5
"Gibson, TN",147156
"Gila, AZ",27459.3
"Giles, TN",4232.525
"Giles, VA",2186832.74
"Gilliam, OR",12891.98
"Gilmer, GA",134
"Gloucester, NJ",573379.48
"Glynn, GA",1189194.7
"Goliad, TX",175970.7
"Gonzales, TX",0
"Goodhue, MN",135303
"Gooding, ID",0
"Gordon, GA",41974.7
"Goshen, WY",16.2
"Gove, KS",6366.23
"Grady, GA",53370
"Grady, OK",43172
"Grafton, NH",6057.7
"Graham, AZ",44
"Graham, NC",113652
"Grand Forks, ND",300804.71
"Grand Traverse, MI",16956
"Grand, CO",23
"Grant, AR",46687.97
"Grant, IN",284897.3
"Grant, KS",8424.1
"Grant, KY",32982
"Grant, LA",3062.3
"Grant, NM",54
"Grant, SD",122854.06
"Grant, WA",5115.00698
"Grant, WI",105387.1638
"Grant, WV",303003.9
"Granville, NC",29526.963
"Gratiot, MI",4038.4
"Graves, KY",0
"Gray, TX",239120.015
"Grays Harbor, WA",122652.5
"Grayson, KY",0
"Grayson, TX",27942
"Green Lake, WI",11996
"Green, WI",8124.47
"Greene, AL",901212
"Greene, AR",129324
"Greene, IN",396
"Greene, MO",200589.406
"Greene, NY",254707.413
"Greene, OH",120532.19
"Greene, PA",4669936.8
"Greene, TN",58944
"Greenlee, AZ",12042.1
"Greensville, VA",294812.9
"Greenup, KY",235042
"Greenville, SC",384007.93
"Greenwood, SC",72147.05
"Gregg, TX",336535.813
"Grenada, MS",558643
"Grimes, TX",133899
"Grundy, IL",107121.41
"Grundy, MO",1.06
"Guadalupe, TX",123170.003
"Guam, GU",35608.096
"Guayama, PR",194739
"Guayanilla, PR",30644.4
"Guaynabo, PR",6588.092
"Guernsey, OH",13718
"Guilford, NC",284749.4614
"Gulf, FL",2102
"Guthrie, IA",4845
"Gwinnett, GA",114781.19
"Habersham, GA",15427.26
"Hale, AL",65921
"Hale, TX",16603
"Halifax, NC",329538.457
"Halifax, VA",220936
"Hall, GA",444450
"Hall, NE",28200.55
"Hamblen, TN",103212.2
"Hamilton, FL",0.01
"Hamilton, IA",30505
"Hamilton, IN",71908
"Hamilton, NE",17553
"Hamilton, OH",3453146.344
"Hamilton, TN",285504.444
"Hampden, MA",619032.871
"Hampshire, MA",19705
"Hampshire, WV",4.2
"Hampton City, VA",156.24
"Hampton, SC",1300136.29
"Hancock, IA",105138.93
"Hancock, IN",190519
"Hancock, KY",3575000.14
"Hancock, ME",41997.43356
"Hancock, MS",89434.99
"Hancock, OH",585666.7
"Hancock, WV",12826.4
"Hanover, VA",76776.9535
"Haralson, GA",25585
"Hardee, FL",396
"Hardeman, TN",250691
"Hardeman, TX",0
"Hardin, IA",253150.2
"Hardin, IL",9220
"Hardin, KY",45676.02
"Hardin, OH",19573
"Hardin, TN",1799063.6
"Hardin, TX",55421
"Hardy, WV",1562154.119
"Harford, MD",63995.173
"Harlan, KY",2.353075
"Harnett, NC",10994
"Harney, OR",138944
"Harris, GA",0
"Harris, TX",7734153.81
"Harrison, IA",31804
"Harrison, IN",221566
"Harrison, KY",46740
"Harrison, MS",2797734.21
"Harrison, OH",0
"Harrison, TX",1035913.918
"Harrison, WV",202873.4
"Harrisonburg City, VA",20723
"Hart, GA",2.4
"Hart, KY",1167.46
"Hartford, CT",118697.7276
"Harvey, KS",49303.8
"Hawaii, HI",44308.56
"Hawkins, TN",988928.16
"Hays, TX",31.0220007
"Haywood, NC",1713447.2
"Haywood, TN",12255
"Hempstead, AR",138168.002
"Henderson, KY",1288373.837
"Henderson, NC",154137.3
"Henderson, TN",43633.27
"Henderson, TX",81849
